id,va1_L,va1_H,va2_L,va2_H,gammaa3_L,gammaa3_H,gammaa4_L,gammaa4_H,gammaa5_L,gammaa5_H,gammaa6_L,gammaa6_H,p1_L,p1_H,p2_L,p2_H,luxR_L,luxR_H,lasR_L,lasR_H,alpha1_L,alpha1_H,alpha2_L,alpha2_H,k1_L,k1_H,k2_L,k2_H,n_L,n_H,theta_L,theta_H,beta_L,beta_H,stability_L,stability_H,vol,purity,stability,count
191.0,2.9305457684646035,9.966571190395149,0.0074824436168992,2.760396360929766,1.3424492746427823,28.491224733163964,98.17685440424523,139.9967647227573,118.19236169121945,119.96244331456406,0.0240351152108748,5.606787072459295,33863684.81029309,46587480.61748961,82882466.79053992,82995971.53538477,0.0002500111571405,0.000256348632283,0.0005022489343035,0.0005907939057208,362.4964334918723,407.0987642261841,0.8572453738689074,3.3762873622132616,74.57218986051794,99.85339741796534,67.92570355982184,99.84183240987332,4.157599816221299,4.843742376154691,9.845537885161508e-05,9.985434086064338e-05,1.8074649757314805e-06,1.949752208013655e-05,0.0,1.0,271.1167668389434,0.5384615384615384,0.7307692307692307,26.0
192.0,16.884438281372837,16.995372616669712,0.164967683674023,9.562216625058268,0.6158222837209428,8.819362308281217,76.52252974624946,92.1055446268215,18.054757259377016,33.02315291508698,1.5555463798036993,39.85387615532851,80222950.56923395,82940903.8673495,38766641.98601148,42468923.75854867,0.0002500140830742,0.0002566858488369,0.0002500977319874,0.0002600466527293,598.1200409509764,599.8479697414139,582.8452848770775,599.5520141246714,88.23713023751871,99.96960203158424,1.0391733460536938,5.04766955532623,1.001268497230756,1.0513833745216832,9.90433782745848e-05,9.999824768498576e-05,1.2599590492260642e-05,4.046816619503775e-05,0.0,1.0,0.09238820087932406,1.0,0.5454545454545454,33.0
193.0,0.0025124398991445,0.4468159138162605,0.0062150573395375,8.385997735344958,19.93530235532253,138.9829267223143,0.6632351857217513,44.1275835134371,10.408534511721824,115.39649645013937,0.3550428352085202,20.22767755586132,836477.5359379349,9928024.444482315,36462771.55639229,59218411.00691705,0.0002507469389302,0.0004208645536019,0.0002711176678745,0.0007595356049034,0.917004050369092,304.0824298861317,0.7066014153719035,131.43539053604957,1.1001722604949284,23.130967259188274,1.2761564294689758,7.662938055739763,1.0004268064592112,4.80543031973755,1.0103884635854697e-06,4.761291887122857e-05,4.009433008544437e-05,9.965094130969548e-05,0.0,1.0,40689909885917.85,0.5853658536585366,0.6829268292682927,41.0
194.0,9.460414382452011,15.081003557474796,0.0035124800121714,1.2298335964062208,17.91329517548159,27.94820274161836,120.81413298320228,139.70086049221123,92.45731781297197,119.00411009936664,28.35970767645507,101.4177185324265,57571977.0968849,82104339.54890803,20021229.37317507,41368509.71873321,0.0004962462865841,0.0009210042875696,0.0002609170249096,0.0003133093408212,2.6067507556787124,23.225601614947443,0.9649401038888248,47.93283946859102,76.09338386166745,86.72900423105445,5.331285183980731,65.11804283917368,2.499049075284081,3.1821763088903783,8.563691323837533e-05,9.995800663280784e-05,5.694585578580005e-05,7.308342390219379e-05,0.0,1.0,2870624672.9408164,0.7619047619047619,0.38095238095238093,21.0
195.0,14.414695769302355,16.971398352594125,0.0017723760820618,4.753403792266598,131.47400840585564,139.42513035082845,0.5889806917828553,8.273740565531169,2.0939627371027485,4.873980880843225,0.714861481307155,22.503034794810187,1015346.3314526264,3274715.107514154,13316469.023398012,34209730.699666806,0.0002525960128002,0.0009954885048236,0.0008807265262242,0.0009990809171511,486.57155856093766,568.3304624407212,553.1121774162647,584.7831392833266,1.3623591907177406,6.275872452245324,82.27618156460781,95.2749427969887,1.122393607003254,1.3562127337187675,3.158574705946021e-05,4.1688536337582905e-05,9.280605135260544e-05,9.86560391939772e-05,0.0,1.0,426501.47547743283,0.5,0.36363636363636365,22.0
196.0,0.1479270728371207,6.008594535195343,15.768060802172576,16.983980535584678,112.26388098039963,138.5262534366408,127.94677824177693,139.8509160271612,0.3755830804469686,98.2554724219155,95.60322765949272,107.211502608987,77695380.77747199,82951605.34077062,844867.5098241898,5463838.66436843,0.0002503095835377,0.0002811157140126,0.0002501124437922,0.0002683844569705,90.4888355669961,170.95791260392338,298.9074474496051,558.9336087635943,31.711783963918773,78.57194823829056,28.21076923256719,99.94821583054346,4.31058285840818,4.899221303368414,9.893199194357042e-05,9.9905707916076e-05,2.23462237721579e-06,1.8266707726020293e-05,0.0,1.0,22359108.068646614,0.30303030303030304,0.5151515151515151,33.0
197.0,14.37482298659826,16.979497633079387,0.1363728678503957,2.699568373005307,0.1826103345023366,0.869071743377382,0.1223651700429849,18.524752528792902,0.0268618112715217,10.255145443617298,0.7488470481567955,7.235471861977751,81835221.51395169,82805745.82780018,80049346.34227012,82872836.00305343,0.0002536389574993,0.000289496135398,0.0002507528350331,0.0004816880747574,549.6321693907245,598.045809419459,546.5259210902806,598.4705401428332,84.50455757945011,99.121717497412,85.70025036916135,90.20420524974637,4.717624757529825,4.927915093099509,2.29700553176542e-06,1.9664027511010668e-05,2.4630351475171904e-06,5.526882389551005e-05,0.0,1.0,4054.1286255390037,0.21428571428571427,0.14285714285714285,14.0
198.0,0.0061352066841868,0.0458373883636896,16.56871560531766,16.998634982602745,0.1235004686567795,2.3015002469604013,0.3816685648436282,9.354448073429666,3.110541546165819,15.19843053226419,73.23899231228869,119.7011557460532,49518310.86842786,77790418.60141298,82220470.43920943,82928226.05353281,0.0002545258279442,0.0002724666771956,0.000250884552584,0.000369298877263,571.519870600815,599.2769182131418,0.1742718564084419,9.8875129650496,1.0217535371220938,13.376890900820111,40.16566085744951,94.930695393558,2.8451830581890847,3.4234296593071787,3.798394558334845e-05,5.8065847143075e-05,1.131003599344656e-05,5.778461498102386e-05,0.0,1.0,784.0551840288443,0.8260869565217391,0.8695652173913043,23.0
199.0,0.0100543326785285,0.2800437442286341,2.494027723633652,6.867606321800954,0.9581053549102896,22.084264197844387,0.1339337479121826,6.830183268566053,0.2740890606219218,0.8648264487064803,119.69815905369008,119.98416894688565,82194990.65780726,82924062.25006661,81941821.66926679,82971848.73723677,0.0009772371981884,0.0009993803355013,0.0002501485399323,0.0002630241230065,54.58555270790078,231.81821917786,0.1481935036279648,16.458778915956145,68.15782992519325,99.97836889654988,43.17317636243386,69.9704351229861,1.0008083528351517,2.237300752725999,1.0016512709452042e-06,2.5612244434898302e-06,1.0762894545189951e-06,1.1179201240812425e-05,0.0,1.0,0.29019586104031575,0.6190476190476191,0.5714285714285714,21.0
200.0,2.905286122760061,9.00099521403456,0.1644934839831009,13.020214467856182,138.24128612288789,138.79811707031826,0.7680870828203918,23.790311751535597,19.085997069651853,62.162688161295655,29.15618149750352,116.56388971405028,79115716.79641107,82287965.16178611,44424887.33477857,78168046.50852521,0.0009150736770445,0.0009711589304607,0.000568922636823,0.0006043407406846,323.761133260604,337.07645196642187,31.69331593595531,47.85794433322644,48.92188404997381,58.78474082599856,1.2858639947416568,31.425838248930017,1.8503148573550152,2.8950314742264096,6.822906107272384e-06,1.873600243560612e-05,4.414195848004174e-06,1.003423538893862e-05,0.0,1.0,3599446.5639496176,0.0,0.14285714285714285,7.0
